Electrode_1,Electrode_2,Electrode_3,label
8.53E-01,8.53E-01,-8.86E+00,0
-2.40E+01,-2.40E+01,3.82E+01,1
-9.88E+01,-9.88E+01,2.65E+02,1
-6.89E-01,-6.89E-01,8.86E+00,0
-2.59E+01,-2.59E+01,8.76E+00,1
2.25E+01,2.25E+01,-1.36E+01,0
-2.38E+02,-2.38E+02,3.16E+02,-1
-3.30E+01,-3.30E+01,1.77E+02,-1
-5.10E+00,-5.10E+00,2.26E+01,-1
-1.38E+02,-1.38E+02,1.68E+02,-1
3.17E+01,3.17E+01,-2.46E+01,0
-4.10E+01,-4.10E+01,-1.66E+01,1
5.38E+01,5.38E+01,-3.29E+00,0
9.62E+00,9.62E+00,-1.20E+00,0
-4.64E+01,-4.64E+01,2.56E+00,0
2.53E+00,2.53E+00,1.13E+01,1
-3.98E+01,-3.98E+01,-1.37E+01,1
-2.59E+01,-2.59E+01,1.40E+01,0
-2.95E+01,-2.95E+01,4.49E+00,0
-1.83E+02,-1.83E+02,-1.39E+02,1
7.00E+00,7.00E+00,2.13E+01,0
-1.52E+02,-1.52E+02,2.91E+02,-1
-3.84E+02,-3.84E+02,2.99E+02,-1
1.25E+01,1.25E+01,-7.24E+01,-1
1.04E+02,1.04E+02,-1.13E+02,-1
-2.02E+02,-2.02E+02,2.08E+02,-1
-4.35E+01,-4.35E+01,1.44E+01,0
-1.35E+02,-1.35E+02,3.05E+02,-1
-9.45E+00,-9.45E+00,-9.60E+00,0
3.07E-01,3.07E-01,-1.24E+00,0
-2.00E+01,-2.00E+01,1.38E+01,0
9.23E+00,9.23E+00,-1.48E+01,0
2.23E+01,2.23E+01,3.00E+01,1
-5.54E+01,-5.54E+01,5.58E+01,1
-1.28E+00,-1.28E+00,3.88E+01,0
6.12E+00,6.12E+00,1.72E+01,1
-7.38E+01,-7.38E+01,1.03E+01,0
3.28E+00,3.28E+00,-2.17E+01,0
1.45E+01,1.45E+01,-4.64E+00,1
-5.29E+00,-5.29E+00,1.12E+01,1
-2.47E+02,-2.47E+02,1.04E+02,-1
-5.75E+00,-5.75E+00,3.38E+01,1
2.88E+01,2.88E+01,-6.49E+01,-1
6.36E+00,6.36E+00,3.38E+01,0
-2.31E+02,-2.31E+02,-7.55E+01,0
-2.87E+01,-2.87E+01,1.47E+01,0
-9.87E+01,-9.87E+01,2.42E+02,-1
5.75E-01,5.75E-01,9.94E+00,1
1.55E+02,1.55E+02,-3.68E+02,1
-8.90E+00,-8.90E+00,7.75E+00,1
2.34E+01,2.34E+01,1.42E+00,1
3.31E+01,3.31E+01,-2.96E+01,-1
-1.08E+02,-1.08E+02,2.67E+02,-1
4.37E+01,4.37E+01,-1.24E+01,0
1.27E+00,1.27E+00,-1.32E+00,0
-1.79E+02,-1.79E+02,2.91E+02,-1
2.27E+00,2.27E+00,-5.91E+00,0
-2.47E+02,-2.47E+02,4.06E+02,-1
-3.91E+01,-3.91E+01,3.50E+01,0
-1.95E+01,-1.95E+01,-9.70E+00,0
-6.14E+01,-6.14E+01,1.82E+02,-1
-2.02E+02,-2.02E+02,6.32E+02,-1
-1.40E+02,-1.40E+02,1.91E+02,-1
-3.40E+01,-3.40E+01,1.17E+02,1
-2.17E+02,-2.17E+02,1.17E+02,-1
-7.25E+01,-7.25E+01,2.75E+01,0
-1.01E+02,-1.01E+02,1.79E+02,1
-3.45E+02,-3.45E+02,2.50E+02,-1
1.97E+01,1.97E+01,-5.32E+00,0
-3.85E+00,-3.85E+00,3.37E+00,0
-5.78E+01,-5.78E+01,7.61E+00,0
1.19E+01,1.19E+01,-2.50E+01,0
3.49E-01,3.49E-01,1.09E+01,0
-2.86E+02,-2.86E+02,5.81E+02,-1
-8.07E+01,-8.07E+01,1.69E+02,1
3.24E+01,3.24E+01,2.71E+00,0
1.13E+01,1.13E+01,-2.17E+01,1
3.65E-01,3.65E-01,-3.31E+01,-1
8.34E+01,8.34E+01,-1.94E+02,1
-1.40E+01,-1.40E+01,5.42E+01,-1
-3.29E+01,-3.29E+01,-1.49E+01,0
-2.96E+01,-2.96E+01,2.49E+01,1
-3.62E+00,-3.62E+00,1.25E+01,1
-5.05E+01,-5.05E+01,-1.04E+01,1
-2.41E+01,-2.41E+01,2.82E+01,1
1.48E+01,1.48E+01,-7.07E+00,1
-5.27E+00,-5.27E+00,5.42E+00,0
6.07E+01,6.07E+01,-3.89E+01,-1
-2.74E+02,-2.74E+02,6.39E+02,-1
9.26E+00,9.26E+00,4.34E+00,0
5.33E+01,5.33E+01,-2.79E+01,0
-5.67E+00,-5.67E+00,1.42E+01,1
-1.38E+02,-1.38E+02,3.01E+02,-1
-2.63E+01,-2.63E+01,4.01E-01,1
1.38E+02,1.38E+02,-4.09E+01,0
1.55E+01,1.55E+01,1.82E+00,0
-3.10E+01,-3.10E+01,7.81E-01,0
-3.36E+01,-3.36E+01,9.56E+01,-1
3.09E+01,3.09E+01,-8.67E-01,0
-1.00E+00,-1.00E+00,-2.44E+00,0
-2.21E+02,-2.21E+02,3.91E+02,-1
-6.59E+00,-6.59E+00,-4.46E+01,1
-1.08E+02,-1.08E+02,-9.29E+00,1
-3.99E+01,-3.99E+01,7.64E+01,-1
-2.20E+01,-2.20E+01,-1.51E+01,1
2.20E+01,2.20E+01,-3.64E+00,0
-1.59E+02,-1.59E+02,2.79E+02,1
4.59E+01,4.59E+01,-2.63E+01,0
1.59E+01,1.59E+01,1.88E+01,1
-2.19E+00,-2.19E+00,1.42E+01,1
4.34E+01,4.34E+01,7.52E+01,1
2.62E+00,2.62E+00,-1.04E+01,0
-2.00E+01,-2.00E+01,1.82E+01,0
1.30E+01,1.30E+01,1.69E+01,0
-2.85E+01,-2.85E+01,9.13E+00,-1
-1.48E+02,-1.48E+02,-5.64E+01,0
-2.83E+01,-2.83E+01,5.37E+00,1
4.29E+01,4.29E+01,-1.49E+01,0
-1.46E+02,-1.46E+02,6.15E+02,-1
-1.00E+02,-1.00E+02,9.55E+01,1
-1.12E+02,-1.12E+02,2.27E+02,-1
1.31E+01,1.31E+01,5.29E+01,-1
-1.93E+01,-1.93E+01,1.12E+01,1
-1.72E+02,-1.72E+02,3.80E+02,-1
-4.28E+01,-4.28E+01,-9.33E+00,-1
3.16E+01,3.16E+01,-5.79E+01,1
-1.55E+01,-1.55E+01,5.02E+00,0
-1.40E+02,-1.40E+02,2.91E+02,-1
2.44E+01,2.44E+01,2.10E+01,0
1.63E+00,1.63E+00,9.05E+00,0
2.21E+02,2.21E+02,-2.45E+02,-1
7.19E+00,7.19E+00,1.19E+00,0
-1.31E+01,-1.31E+01,1.47E+01,-1
-3.09E+01,-3.09E+01,5.33E+01,1
-1.84E+02,-1.84E+02,3.03E+02,-1
3.71E+00,3.71E+00,-1.88E+01,1
-3.32E+01,-3.32E+01,1.08E+02,-1
-2.67E+01,-2.67E+01,1.63E+01,0
-4.55E+01,-4.55E+01,2.81E+01,1
-2.78E+01,-2.78E+01,1.78E+01,0
-4.10E+02,-4.10E+02,7.99E+02,-1
-3.56E+01,-3.56E+01,3.52E+01,1
-4.60E+01,-4.60E+01,-4.11E+01,1
-6.85E+01,-6.85E+01,1.09E+02,-1
-7.21E+01,-7.21E+01,1.73E+02,-1
-2.69E+01,-2.69E+01,-1.52E+00,1
-3.85E+01,-3.85E+01,1.38E+01,1
-5.42E+01,-5.42E+01,2.18E+01,1
2.26E+01,2.26E+01,-2.20E+02,-1
2.72E+01,2.72E+01,7.76E+00,0
-2.22E+02,-2.22E+02,5.77E+02,1
-9.19E+01,-9.19E+01,2.40E+02,-1
-9.13E+00,-9.13E+00,-3.57E+00,0
-5.77E+00,-5.77E+00,6.31E+01,1
-3.18E+01,-3.18E+01,-5.41E+01,1
2.05E+01,2.05E+01,-1.34E+01,0
-3.16E+01,-3.16E+01,1.14E+01,0
-3.36E+01,-3.36E+01,-1.21E+01,1
-6.97E+01,-6.97E+01,3.51E+01,0
-2.44E+02,-2.44E+02,3.36E+02,1
-1.90E+01,-1.90E+01,3.54E+01,1
-2.17E-01,-2.17E-01,1.67E+01,1
-2.79E+01,-2.79E+01,2.26E+01,0
-4.84E+01,-4.84E+01,1.78E+01,0
3.33E+02,3.33E+02,-8.05E+02,1
-1.80E+02,-1.80E+02,5.59E+02,-1
-4.44E+02,-4.44E+02,8.09E+02,-1
-9.25E+01,-9.25E+01,1.91E+02,-1
-1.36E+02,-1.36E+02,1.76E+02,-1
-6.13E+00,-6.13E+00,-3.98E+01,-1
-2.61E+01,-2.61E+01,1.39E+01,1
-2.66E+02,-2.66E+02,6.02E+02,-1
6.62E+00,6.62E+00,2.33E+01,0
3.87E+01,3.87E+01,-3.18E+00,0
-2.84E+02,-2.84E+02,5.93E+02,1
-8.30E+01,-8.30E+01,-1.13E+01,1
-1.23E+01,-1.23E+01,1.36E+01,1
-7.08E+01,-7.08E+01,1.38E+02,-1
-9.20E+00,-9.20E+00,-1.47E+01,0
-5.62E+01,-5.62E+01,-2.15E+01,1
1.90E+01,1.90E+01,-3.84E+01,0
-3.22E+01,-3.22E+01,2.43E+01,1
-2.21E+02,-2.21E+02,5.03E+02,1
-1.96E+01,-1.96E+01,2.23E+01,1
-3.20E+01,-3.20E+01,-2.69E+01,1
-1.24E+01,-1.24E+01,2.44E+01,0
2.26E+01,2.26E+01,-6.83E+00,1
-3.05E+02,-3.05E+02,6.93E+02,1
-4.52E+01,-4.52E+01,2.46E+01,1
-1.97E+01,-1.97E+01,1.49E+01,0
3.15E+02,3.15E+02,-1.01E+03,-1
2.35E+01,2.35E+01,-4.18E+01,0
3.71E+01,3.71E+01,2.20E+00,0
-6.84E+01,-6.84E+01,8.32E+00,1
-2.43E+02,-2.43E+02,-4.50E+01,0
-7.23E+01,-7.23E+01,7.26E+01,1
-3.53E+00,-3.53E+00,-2.98E+01,1
7.25E+00,7.25E+00,7.14E+00,0
1.43E+01,1.43E+01,1.39E+01,1
3.23E+01,3.23E+01,1.98E+00,0
-2.06E+01,-2.06E+01,3.43E+01,0
-3.37E+01,-3.37E+01,1.98E+01,1
1.08E+02,1.08E+02,-2.06E+02,-1
-2.70E+02,-2.70E+02,7.72E+02,-1
7.66E+00,7.66E+00,-2.54E+01,-1
-2.78E+02,-2.78E+02,5.38E+02,-1
-5.62E+01,-5.62E+01,2.87E+02,-1
2.92E+01,2.92E+01,-4.22E+00,0
-6.05E+01,-6.05E+01,2.36E+02,-1
-2.36E+02,-2.36E+02,4.33E+02,-1
-2.88E+01,-2.88E+01,-6.09E-01,0
-1.67E+02,-1.67E+02,3.11E+02,-1
-1.17E+01,-1.17E+01,6.73E+00,0
-8.49E+01,-8.49E+01,3.14E+01,1
7.83E+01,7.83E+01,2.37E+01,-1
5.09E+01,5.09E+01,-1.36E+02,-1
-3.50E+01,-3.50E+01,2.73E+01,1
-4.03E+01,-4.03E+01,9.78E+00,1
2.02E+01,2.02E+01,-2.03E+01,0
4.94E+01,4.94E+01,-1.47E+01,0
-6.53E+01,-6.53E+01,1.22E+02,1
-1.01E+02,-1.01E+02,1.55E+02,-1
-9.81E+01,-9.81E+01,2.33E+02,-1
